role_id,identity_id,zone_type_id,zone_status_id,loitering,time_in_zone,visit_count,direction_id,hour,role_confidence,category_id,frames_tracked,is_night,is_business_hour,action_id,action_confidence,label
11,1,1,2,1,158.8,7,3,19,0.915,0,213,0,0,0,0.808,watch
14,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
14,1,2,2,0,30.0,1,3,14,0.6,0,120,0,1,8,0.0,alert
15,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
13,2,1,3,0,0.0,3,0,19,0.565,0,883,0,0,6,0.733,watch
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
15,1,2,2,1,208.6,8,0,18,0.465,2,773,0,0,8,0.0,watch
15,1,2,2,0,30.0,1,3,15,0.6,0,120,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
14,1,2,2,0,30.0,1,3,10,0.6,0,120,0,1,8,0.0,alert
0,1,2,2,0,30.0,1,3,14,0.9,0,120,0,1,8,0.0,warning
14,1,0,0,0,0.0,0,0,16,0.5,0,30,0,1,8,0.0,alert
8,1,2,3,0,0.0,1,0,15,0.568,0,622,0,1,0,0.946,watch
15,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
0,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,warning
0,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,warning
14,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
15,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
8,0,0,0,0,0.0,1,2,19,0.725,0,555,0,0,0,0.698,watch
14,1,2,2,0,30.0,1,3,10,0.6,0,120,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
0,2,1,2,1,290.9,8,0,8,0.858,0,628,0,0,1,0.706,watch
14,1,0,0,0,0.0,0,0,16,0.5,0,30,0,1,8,0.0,alert
1,0,2,1,1,62.6,0,2,6,0.86,0,728,0,0,6,0.961,normal
14,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
4,0,0,0,0,0.0,4,0,9,0.429,0,63,0,1,4,0.972,alert
14,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,critical
15,1,1,3,0,0.0,4,3,18,0.35,2,303,0,0,8,0.0,watch
15,1,1,2,0,44.8,3,3,22,0.976,1,779,1,0,8,0.0,ignore
14,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
0,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,warning
15,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
15,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
15,0,1,1,1,101.5,7,2,8,0.93,2,515,0,0,8,0.0,watch
15,2,1,2,1,119.5,4,1,5,0.382,2,895,1,0,8,0.0,watch
15,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,critical
0,1,2,2,0,30.0,1,3,15,0.9,0,120,0,1,8,0.0,warning
10,2,1,1,1,261.0,5,1,23,0.618,0,535,1,0,1,0.787,watch
6,1,0,0,0,0.0,6,3,12,0.71,0,466,0,1,0,0.665,watch
15,2,1,2,1,234.0,5,1,13,0.35,2,10,0,1,8,0.0,watch
14,1,0,0,0,0.0,0,0,15,0.5,0,30,0,1,8,0.0,alert
15,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
15,1,1,2,1,248.2,4,3,3,0.69,2,86,1,0,8,0.0,watch
15,1,2,2,0,30.0,1,3,10,0.6,0,120,0,1,8,0.0,alert
14,1,2,2,0,30.0,1,3,14,0.6,0,120,0,1,8,0.0,alert
14,1,2,2,0,30.0,1,3,16,0.6,0,120,0,1,8,0.0,alert
15,1,2,2,0,30.0,1,3,10,0.6,0,120,0,1,8,0.0,alert
10,2,1,1,0,21.4,8,2,10,0.49,0,393,0,1,0,0.943,watch
14,1,0,0,0,0.0,0,0,14,0.5,0,30,0,1,8,0.0,alert
12,0,1,1,1,202.2,4,3,11,0.562,0,50,0,1,0,0.503,watch
14,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
14,1,0,0,0,0.0,0,0,10,0.5,0,30,0,1,8,0.0,alert
